block_month,address,transfer_count
2023-01,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,222215
2023-02,0xdac17f958d2ee523a2206206994597c13d831ec7,406902
2023-03,0xdac17f958d2ee523a2206206994597c13d831ec7,262745
2023-04,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,396603
