block_month,address,transfer_amount
2023-01,0x0027449bf0887ca3e431d263ffdefb244d95b555,1.157920892373162e+59
2023-02,0x27228d736935e00ffce7161782c54caa4be2a375,1.967985762386962e+70
2023-03,0x0027449bf0887ca3e431d263ffdefb244d95b555,1.157920892373162e+59
2023-04,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,1.5012716685505472e+59
